,kepid,koi_slogg,koi_steff,koi_srad,koi_kepmag,koi_duration,koi_depth,koi_prad
1421,11760231,4.592,5187.0,0.774,13.218,2.9575,626.7,2.12
1423,6046540,4.191,6056.0,1.498,14.412,2.9987,8510.5,14.31
1424,5706966,4.669,4213.0,0.598,14.731,3.1293,494.1,1.34
1425,3762468,4.398,6311.0,1.172,14.995999999999999,3.2848,8538.0,10.96
1426,5706966,4.669,4213.0,0.598,14.731,3.952,387.2,1.16
1427,10130039,4.34,5782.0,1.095,12.776,4.1828,187.9,1.49
1428,10130039,4.34,5782.0,1.095,12.776,3.1441,112.0,1.15
1429,9518318,4.465,6032.0,1.001,15.214,1.6919,695.1,3.09
1430,9518318,4.465,6032.0,1.001,15.214,2.4453,833.7,3.37
1431,7273277,4.461,5815.0,0.992,12.987,1.3115,143.5,1.38
1432,11769890,4.51,5413.0,0.861,13.8,7.835,717.7,2.7
1434,12301181,4.598,4997.0,0.746,12.905999999999999,2.7645,119.7,0.79
1436,6774880,4.487,6091.0,0.967,14.998,4.4408,599.4,2.75
1437,3937519,4.314,5392.0,1.087,14.622,2.61366,3868.7,6.62
1438,7449541,4.587,5667.0,0.781,15.62,4.4302,285.8,1.56
1439,5080636,4.747,3706.0,0.522,14.404000000000002,1.7807,660.7,1.57
1441,3338885,3.972,4883.0,1.667,14.437999999999999,1.7901,403.2,3.97
1443,6776401,4.455,5329.0,0.869,14.812000000000001,4.4557,965.8,2.65
1444,10130039,4.34,5782.0,1.095,12.776,2.7727,167.6,1.59
1445,8226050,4.468,5083.0,0.872,14.685,4.8251,699.3,2.44
1446,9965957,4.51,5445.0,0.929,15.196,1.7948,733.8,3.14
1447,9704384,4.489,5448.0,0.883,13.317,3.0788,203.9,1.49
1448,8426567,3.987,5015.0,1.643,14.417,3.372,684.0,4.41
1452,8257205,4.548,5159.0,0.821,14.839,5.499,1532.1,3.61
1453,9044228,3.909,4777.0,1.795,14.145,1.4083,270.4,3.21
1454,7265298,4.381,5739.0,1.069,15.087,6.908,619.5,2.66
1455,7265298,4.381,5739.0,1.069,15.087,4.753,182.3,1.45
1456,7132798,4.565,5598.0,0.83,14.235999999999999,2.877,114.7,0.88
1458,2307415,4.265,6140.0,1.277,12.992,3.6138,196.9,1.99
1459,7430034,4.331,5938.0,1.184,13.429,7.222,505.5,3.33
1460,9735426,4.494,5269.0,0.874,14.624,1.8334,952.9,2.94
1461,8826168,4.395,5907.0,1.058,14.138,3.3601,402.8,2.17
1462,10464050,4.507,5988.0,0.934,14.769,1.813,553.9,2.26
1463,9763348,4.129,6283.0,1.531,13.205,4.957,313.6,2.72
1464,9101496,4.005,5878.0,1.812,13.995999999999999,4.0144,260.8,3.07
1465,6037581,4.266,5865.0,1.272,13.597999999999999,4.6395,323.9,2.42
1466,10723750,4.185,6163.0,1.406,14.274000000000001,10.8474,5671.1,10.6
1467,6037581,4.266,5865.0,1.272,13.597999999999999,4.3206,271.2,2.08
1468,6037581,4.266,5865.0,1.272,13.597999999999999,2.55,63.3,1.01
1469,10779233,4.447,5646.0,0.954,13.328,10.328,584.8,2.28
1470,11614617,4.487,6106.0,0.966,14.49,6.998,458.7,2.44
1471,11450414,4.115,5592.0,1.451,14.513,6.401,336.6,2.88
1472,4736569,4.689,4777.0,0.561,15.629000000000001,3.1683,911.6,1.67
1473,10384798,4.504,5974.0,0.881,14.777000000000001,5.941,695.2,2.45
1474,2307415,4.265,6140.0,1.277,12.992,3.0643,133.2,1.6
1475,3128552,4.308,5509.0,1.116,14.523,3.5317,540.6,2.56
1477,9573685,4.7,3974.0,0.564,15.026,2.1604,401.2,1.12
1478,10329835,4.736000000000001,3746.0,0.51,15.312999999999999,1.4796,364.7,1.26
1479,6849046,4.4030000000000005,5574.0,1.054,14.014000000000001,2.82038,7563.0,9.0
1480,8804397,4.459,6028.0,1.047,13.43,7.007,432.2,2.4
1481,9662811,4.476,5550.0,0.911,13.534,6.571,541.6,2.5
1485,8218379,4.5889999999999995,5483.0,0.779,14.64,2.9052,644.9,2.03
1486,7755636,4.029,6384.0,1.904,12.818,6.5047,377.5,3.71
1487,9411166,4.331,5741.0,1.136,15.356,2.0944,392.8,2.38
1489,4989057,4.523,5411.0,0.85,14.139000000000001,2.165,453.3,1.78
1490,9834040,4.433,6246.0,1.092,15.368,2.6215,520.3,2.5
1491,6152974,4.474,5064.0,0.864,14.710999999999999,3.1488,5368.1,6.24
1492,8802693,4.613,5448.0,0.734,15.593,3.0715,991.1,2.45
1494,10024701,4.4030000000000005,5931.0,1.053,13.286,3.208,251.1,2.05
1497,9304101,4.147,5636.0,1.39,12.584000000000001,4.4078,156.1,1.77
1498,11360571,4.255,6564.0,1.356,13.754000000000001,10.214,589.5,3.7
1499,6035124,4.574,5272.0,0.813,13.745999999999999,2.0808,127.8,0.93
1500,8160953,4.533,5354.0,0.835,14.767000000000001,7.025,1586.3,3.26
1502,4157325,4.397,5670.0,1.022,14.027999999999999,3.3422,581.1,2.71
1503,4157325,4.397,5670.0,1.022,14.027999999999999,4.1808,538.1,2.61
1506,9955598,4.497,5455.0,0.888,9.439,3.128,123.3,1.11
1507,10723750,4.185,6163.0,1.406,14.274000000000001,7.5235,2431.4,7.39
1510,10136549,4.1080000000000005,5683.0,1.472,12.727,5.6725,141.8,1.89
1512,12154526,4.327,5700.0,1.176,13.350999999999999,6.5272,346.2,2.56
1513,6665512,4.6610000000000005,4461.0,0.585,14.832,4.3591,529.7,1.48
1514,10525027,4.769,3758.0,0.496,14.22,1.7292,262.5,0.81
1515,11069176,3.877,5817.0,2.153,13.127,4.662,185.1,2.94
1519,5864975,4.583,5808.0,0.786,15.7,6.593,7320.0,6.99
1520,2975770,4.542,4855.0,0.778,14.520999999999999,5.9189,5904.3,5.76
1522,7877496,4.297,5742.0,1.215,14.309000000000001,2.0243,10184.0,13.25
1526,10136549,4.1080000000000005,5683.0,1.472,12.727,4.8069,80.7,1.39
1527,5511081,4.0169999999999995,5951.0,1.693,12.119000000000002,7.3419,199.2,2.38
1528,5511081,4.0169999999999995,5951.0,1.693,12.119000000000002,8.7682,184.4,2.3
1529,5511081,4.0169999999999995,5951.0,1.693,12.119000000000002,6.18,81.7,1.56
1530,10978763,4.3580000000000005,5353.0,1.023,14.530999999999999,2.5719,287.3,1.75
1531,11069176,3.877,5817.0,2.153,13.127,3.852,176.7,2.88
1533,6152974,4.474,5064.0,0.864,14.710999999999999,2.845,286.7,1.42
1535,5631630,4.088,6369.0,1.729,13.2,6.2732,350.3,3.25
1536,6504954,4.463,5970.0,1.015,15.254000000000001,6.474,5128.7,7.7
1537,9410930,4.441,5657.0,0.947,14.465,2.35672,10570.0,10.05
1540,10676014,4.588,4925.0,0.742,12.970999999999998,3.7386,908.0,2.25
1541,9520838,4.515,5534.0,0.875,14.985999999999999,6.214,1362.2,3.18
1542,8167996,4.74,3716.0,0.506,15.017999999999999,1.6999,495.1,1.11
1543,8167996,4.74,3716.0,0.506,15.017999999999999,1.5871,1110.0,2.04
1544,8167996,4.74,3716.0,0.506,15.017999999999999,2.098,430.0,1.04
1545,6773862,4.744,3826.0,0.516,15.22,1.6679,1287.2,1.93
1546,10978763,4.3580000000000005,5353.0,1.023,14.530999999999999,3.366,194.2,1.41
1548,10978763,4.3580000000000005,5353.0,1.023,14.530999999999999,3.103,193.2,1.39
1549,10027323,4.762,3883.0,0.496,15.157,3.81,1210.2,1.87
1550,5202905,4.0569999999999995,6642.0,1.846,12.345,6.617,322.7,3.36
1551,9072190,4.2989999999999995,5393.0,1.11,15.040999999999999,6.341,845.6,3.28
1552,5384079,4.244,6388.0,1.402,12.556,2.0261,130.0,1.68
1553,9839821,4.553999999999999,5818.0,0.848,14.876,5.333,767.7,2.4
1554,4056616,4.573,4507.0,0.724,13.155999999999999,1.2701,191.0,0.97
1556,8492026,4.466,6108.0,1.03,14.136,4.1107,257.0,1.95
1559,11017901,4.405,5494.0,0.982,12.394,1.1081,3387.4,16.51
1560,5088591,4.473,5345.0,0.86,14.625,3.13,1355.9,3.11
1561,11298298,4.437,5807.0,1.012,13.345,1.917,601.2,2.84
